Date,Open,High,Low,Volume
30/05/2017,179.46,201.56,179.46,563.5740437
31/05/2017,201.49,210.31,192.1,1823.492476
01/06/2017,205,211.2,180,4272.72651
02/06/2017,192.34,204.54,192.34,1890.842875
03/06/2017,197,201.22,196.52,604.7553556
04/06/2017,199,222.49,198.88,1985.755711
05/06/2017,219.08,220.5,215.93,989.0358131
06/06/2017,220.5,239.72,220.48,2787.508701
07/06/2017,234,237.14,218,3191.446098
08/06/2017,228.35,233,223,1110.645923
09/06/2017,230.45,248.3,230,2319.661408
10/06/2017,248.24,305.44,247.13,5484.275695
11/06/2017,302.4,317,284.07,8554.631337
12/06/2017,310.1,376.39,180.88,12868.96404
13/06/2017,342,356.43,317.68,4150.800214
14/06/2017,343.34,353.58,287.09,10276.81213
15/06/2017,303,344.49,226.28,22625.67491
16/06/2017,303.88,329.99,285,5764.312766
17/06/2017,312.45,328,309,3397.12355
18/06/2017,326.67,342.5,299.04,6955.302412
19/06/2017,311,324.84,309.14,2033.671141
20/06/2017,319.33,328.03,284.25,6809.697387
21/06/2017,316.09,317.18,202.32,12480.32579
22/06/2017,273.43,300,267.05,4176.699294
23/06/2017,284.02,297,284.02,1521.651704
24/06/2017,293.06,295.32,264.14,3471.529456
25/06/2017,271.2,277.5,222.61,7026.579394
26/06/2017,244.04,263,184.06,16256.91304
27/06/2017,221.3,251.37,190.05,17230.68397
28/06/2017,248.45,283.89,230.83,13436.88717
29/06/2017,277.03,284.99,250.01,7132.210609
30/06/2017,263.9,272,238.09,6187.233545
01/07/2017,241.05,249,220.21,5211.49886
02/07/2017,229,255,222.72,6075.592056
03/07/2017,251.53,254,240.12,2382.491072
04/07/2017,242.54,249.36,230.77,8050.141591
05/07/2017,237.12,241.79,221.81,3792.262403
06/07/2017,235.5,244.8,230.2,1313.555198
07/07/2017,235.04,235.04,205.46,4096.02825
08/07/2017,209.58,219.1,202,1978.287372
09/07/2017,212.5,220,210.5,636.7465325
10/07/2017,210.87,212.02,181.91,10277.49517
11/07/2017,181.2,218,150,23980.64864
12/07/2017,169.71,199.39,159.54,9214.446989
13/07/2017,193.89,197.47,170.04,8103.687561
14/07/2017,179,181.99,160,4289.429054
15/07/2017,169.7,174,151.15,6861.659555
16/07/2017,152.15,152.26,115,28063.11638
17/07/2017,135.38,163.99,132.83,14301.46571
18/07/2017,163.99,220,154.3,31019.22986
19/07/2017,194.6,215,165,23639.58572
20/07/2017,169,208,163.34,15564.07405
21/07/2017,192,203.96,178.45,7550.62816
22/07/2017,187.98,202.9,185.67,3426.106435
23/07/2017,200.5,201.08,191.1,4282.977333
24/07/2017,195.93,198.88,195,2046.732037
25/07/2017,195.9,196.11,165,13640.91826
26/07/2017,172.62,180.25,166.67,5710.319481
27/07/2017,172.84,176.26,170.7,3252.078198
28/07/2017,175.48,175.88,162.5,3164.479812
29/07/2017,164,166.38,152,3084.334348
30/07/2017,170.47,178.4,167.81,795.3556276
31/07/2017,170.25,176,163.3,3519.53363
01/08/2017,170.1,196.13,170.1,11934.98966
02/08/2017,190.92,195.12,182.2,4102.039981
03/08/2017,184.71,192.9,183.41,4641.236373
04/08/2017,189.59,191.22,186,1907.182883
05/08/2017,187.62,218.99,186.92,11774.89363
06/08/2017,209.52,233.9,209.51,7531.252162
