Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
17/11/2008,638.85,0,0,2.25858E+11,0
18/11/2008,636.3,0,0,2.24956E+11,0
19/11/2008,609.51,0,0,2.15488E+11,0
20/11/2008,591.2,0,0,2.09012E+11,0
24/11/2008,621.92,0,0,2.19874E+11,0
25/11/2008,636.2,0,0,2.24922E+11,0
26/11/2008,629.4,0,0,2.22519E+11,0
28/11/2008,649.94,0,0,2.30024E+11,0
01/12/2008,609.55,0,0,2.15729E+11,0
02/12/2008,632.53,0,0,2.23861E+11,0
03/12/2008,634.59,0,0,2.2459E+11,0
04/12/2008,633.56,0,0,2.24226E+11,0
05/12/2008,599.56,0,0,2.12195E+11,0
08/12/2008,656.12,0,0,2.32211E+11,0
09/12/2008,666.56,0,0,2.35904E+11,0
10/12/2008,668.16,0,0,2.36471E+11,0
12/12/2008,634.15,0,0,2.24437E+11,0
15/12/2008,620.79,0,0,2.19708E+11,0
16/12/2008,625.48,0,0,2.21365E+11,0
17/12/2008,626.89,0,0,2.21864E+11,0
18/12/2008,633.5,0,0,2.24205E+11,0
19/12/2008,630.49,0,0,2.23139E+11,0
22/12/2008,619.22,0,0,2.19606E+11,0
23/12/2008,615.47,0,0,2.18279E+11,0
29/12/2008,613.4,0,0,2.17544E+11,0
30/12/2008,625.8,0,0,2.2194E+11,0
02/01/2009,654.69,0,0,2.32186E+11,0
05/01/2009,674.03,0,0,2.39047E+11,0
06/01/2009,680.79,0,0,2.41444E+11,0
07/01/2009,678.52,0,0,2.40639E+11,0
08/01/2009,662.41,0,0,2.34924E+11,0
09/01/2009,662.01,0,0,2.34783E+11,0
12/01/2009,648.1,0,0,2.29849E+11,0
13/01/2009,630.71,0,0,2.23682E+11,0
14/01/2009,593.21,0,0,2.10383E+11,0
15/01/2009,596.65,0,0,2.11604E+11,0
16/01/2009,611.34,0,0,2.16813E+11,0
20/01/2009,581.11,0,0,2.06093E+11,0
21/01/2009,594.34,0,0,2.10785E+11,0
22/01/2009,584,0,0,2.07115E+11,0
23/01/2009,583.08,0,0,2.0679E+11,0
26/01/2009,601.15,0,0,2.13199E+11,0
27/01/2009,598.3,0,0,2.12187E+11,0
28/01/2009,618.25,0,0,2.19262E+11,0
29/01/2009,600.79,0,0,2.13072E+11,0
30/01/2009,600.2,0,0,2.1286E+11,0
02/02/2009,584.22,0,0,2.07194E+11,0
03/02/2009,596,0,0,2.11371E+11,0
04/02/2009,619.9,0,0,2.19848E+11,0
05/02/2009,616.19,0,0,2.18531E+11,0
06/02/2009,642.97,0,0,2.2803E+11,0
09/02/2009,654.34,0,0,2.32063E+11,0
10/02/2009,634.23,0,0,2.24929E+11,0
11/02/2009,621.68,0,0,2.20479E+11,0
12/02/2009,618.29,0,0,2.19278E+11,0
13/02/2009,624.45,0,0,2.21462E+11,0
17/02/2009,588.87,0,0,2.08843E+11,0
18/02/2009,590.49,0,0,2.09417E+11,0
19/02/2009,588.68,0,0,2.08775E+11,0
20/02/2009,562.89,0,0,1.99631E+11,0
23/02/2009,553.2,0,0,1.96194E+11,0
24/02/2009,541.34,0,0,1.91986E+11,0
25/02/2009,536.87,0,0,1.90402E+11,0
26/02/2009,552.93,0,0,1.96095E+11,0
27/02/2009,544.42,0,0,1.9308E+11,0
02/03/2009,519.22,0,0,1.84144E+11,0
03/03/2009,511.95,0,0,1.81562E+11,0
04/03/2009,532.5,0,0,1.88853E+11,0
05/03/2009,510.28,0,0,1.80971E+11,0
