Date,Open,High_ETH_EUR,Low_ETH_EUR,Volume,Index Value,High_OMX,Low_OMX,Total Market Value,Dividend Market Value
2017-05-30,179.46,201.56,179.46,563.57404374,1604.93,1604.94,1592.22,615594319295.0,0.0
2017-05-31,201.49,210.31,192.1,1823.49247642,1609.29,1618.19,1606.28,617266985104.0,0.0
2017-06-01,205.0,211.2,180.0,4272.72650954,1616.64,1618.88,1606.89,620083959967.0,0.0
2017-06-02,192.34,204.54,192.34,1890.8428749,1627.62,1634.45,1619.65,624295997623.0,0.0
2017-06-03,197.0,201.22,196.52,604.75535556,,,,,
2017-06-04,199.0,222.49,198.88,1985.75571126,,,,,
2017-06-05,219.08,220.5,215.93,989.03581306,1622.15,1630.77,1620.54,622199973441.0,0.0
2017-06-06,220.5,239.72,220.48,2787.50870149,1616.46,1621.63,1616.06,620015100315.0,0.0
2017-06-07,234.0,237.14,218.0,3191.4460982,1615.62,1622.96,1612.53,619694417292.0,0.0
2017-06-08,228.35,233.0,223.0,1110.64592339,1616.29,1626.12,1615.04,619952532771.0,0.0
2017-06-09,230.45,248.3,230.0,2319.66140789,1629.44,1630.53,1616.96,624995654230.0,0.0
2017-06-10,248.24,305.44,247.13,5484.27569465,,,,,
2017-06-11,302.4,317.0,284.07,8554.63133695,,,,,
2017-06-12,310.1,376.39,180.88,12868.96404313,1613.38,1629.65,1579.52,618835191533.0,0.0
2017-06-13,342.0,356.43,317.68,4150.80021366,1631.09,1634.11,1614.1,625629156925.0,0.0
2017-06-14,343.34,353.58,287.09,10276.81212793,1628.04,1644.5,1627.64,624459023838.0,0.0
2017-06-15,303.0,344.49,226.28,22625.67490942,1611.35,1628.79,1604.78,618056709157.0,0.0
2017-06-16,303.88,329.99,285.0,5764.3127655,1622.71,1622.84,1612.11,622415128910.0,0.0
2017-06-17,312.45,328.0,309.0,3397.12354955,,,,,
2017-06-18,326.67,342.5,299.04,6955.30241197,,,,,
2017-06-19,311.0,324.84,309.14,2033.67114093,1642.56,1643.62,1623.44,629184790891.0,0.0
2017-06-20,319.33,328.03,284.25,6809.697387,1633.52,1647.57,1633.52,625725177458.0,0.0
2017-06-21,316.09,317.18,202.32,12480.3257876,1628.17,1633.97,1619.27,623673643281.0,0.0
2017-06-22,273.43,300.0,267.05,4176.69929383,1631.42,1631.47,1622.4,624919628206.0,0.0
2017-06-23,284.02,297.0,284.02,1521.65170362,1630.74,1631.87,1627.5,624658401889.0,0.0
2017-06-24,293.06,295.32,264.14,3471.52945584,,,,,
2017-06-25,271.2,277.5,222.61,7026.57939407,,,,,
2017-06-26,244.04,263.0,184.06,16256.91303783,1628.43,1637.25,1626.35,623774517884.0,0.0
2017-06-27,221.3,251.37,190.05,17230.68396548,1609.8,1628.63,1609.8,616638424858.0,0.0
2017-06-28,248.45,283.89,230.83,13436.88717496,1610.43,1610.43,1591.57,616880738920.0,0.0
2017-06-29,277.03,284.99,250.01,7132.21060929,1590.99,1621.3,1587.42,609432616602.0,0.0
2017-06-30,263.9,272.0,238.09,6187.23354489,1593.85,1604.57,1586.78,610528851380.0,0.0
2017-07-01,241.05,249.0,220.21,5211.49885994,,,,,
2017-07-02,229.0,255.0,222.72,6075.59205579,,,,,
2017-07-03,251.53,254.0,240.12,2382.4910718,1615.99,1616.29,1593.38,619007292030.0,0.0
2017-07-04,242.54,249.36,230.77,8050.1415911,1606.15,1613.81,1604.96,615239111129.0,0.0
2017-07-05,237.12,241.79,221.81,3792.26240261,1617.65,1618.97,1602.39,619643586913.0,0.0
2017-07-06,235.5,244.8,230.2,1313.55519762,1607.56,1618.14,1598.97,615780949047.0,0.0
2017-07-07,235.04,235.04,205.46,4096.02824997,1609.1,1609.1,1598.79,616370421032.0,0.0
2017-07-08,209.58,219.1,202.0,1978.28737163,,,,,
2017-07-09,212.5,220.0,210.5,636.74653247,,,,,
2017-07-10,210.87,212.02,181.91,10277.49516581,1616.55,1618.34,1608.66,619223240742.0,0.0
2017-07-11,181.2,218.0,150.0,23980.64864112,1609.43,1623.14,1609.34,616497781688.0,0.0
2017-07-12,169.71,199.39,159.54,9214.44698926,1638.71,1638.74,1609.45,627712584642.0,0.0
2017-07-13,193.89,197.47,170.04,8103.6875614,1639.52,1645.87,1635.61,628023736271.0,0.0
2017-07-14,179.0,181.99,160.0,4289.42905359,1644.0,1646.7,1638.33,629737289875.0,0.0
2017-07-15,169.7,174.0,151.15,6861.65955513,,,,,
2017-07-16,152.15,152.26,115.0,28063.11637661,,,,,
2017-07-17,135.38,163.99,132.83,14301.46571209,1642.61,1650.19,1631.47,629203752558.0,0.0
2017-07-18,163.99,220.0,154.3,31019.22986103,1611.01,1643.47,1608.97,617100136422.0,0.0
2017-07-19,194.6,215.0,165.0,23639.58571694,1613.55,1620.37,1600.06,618075582826.0,0.0
2017-07-20,169.0,208.0,163.34,15564.07404945,1605.29,1616.64,1601.08,614910737850.0,0.0
2017-07-21,192.0,203.96,178.45,7550.62815998,1587.5,1605.34,1579.41,608093904169.0,0.0
2017-07-22,187.98,202.9,185.67,3426.10643526,,,,,
2017-07-23,200.5,201.08,191.1,4282.97733282,,,,,
2017-07-24,195.93,198.88,195.0,2046.73203733,1574.61,1591.63,1573.24,603156725466.0,0.0
2017-07-25,195.9,196.11,165.0,13640.91825678,1575.62,1581.52,1572.34,603543382984.0,0.0
2017-07-26,172.62,180.25,166.67,5710.31948088,1585.47,1586.45,1573.72,607319820821.0,0.0
2017-07-27,172.84,176.26,170.7,3252.07819817,1578.46,1589.93,1576.21,604633222382.0,0.0
2017-07-28,175.48,175.88,162.5,3164.47981223,1574.83,1579.41,1568.45,603242739746.0,0.0
2017-07-29,164.0,166.38,152.0,3084.33434847,,,,,
2017-07-30,170.47,178.4,167.81,795.3556276,,,,,
